Fiyat;Marka;Seri;Model;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;İlan Tarihi;Boya-değişen;Araç Durumu;Link
1.195.000 TL;Volkswagen;Golf;1.4 TSi Highline;2015.0;155.000 km;;;;1395 cc;125 hp;Hatchback/5;20 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-4-tsi-highline/galeriden-volkswagen-golf-1-4-tsi-highline-2015-model-izmir/33767205
1.215.000 TL;Volkswagen;Passat;1.4 TSi BlueMotion Comfortline;2011.0;146.500 km;;;;1390 cc;122 hp;Sedan;20 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-4-tsi-bluemotion-comfortline/procars-boyasiz-degisensiz-tramersiz-extrali-cift-renk-gogus/31900647
1.715.000 TL;Volkswagen;Passat;1.5 TSi Business;2021.0;135.000 km;;;;1498 cc;150 hp;Sedan;20 Ekim 2025;2 boyalı;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-passat-1-5-tsi-business/sahibinden-volkswagen-passat-1-5-tsi-business-2021-model/33760204
1.020.000 TL;Volkswagen;Golf;1.4 TSi Trendline;2012.0;24.000 km;;;;1390 cc;122 hp;Hatchback/5;20 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-4-tsi-trendline/emrah-auto-dan-2012-model-golf-24-bin-km-de-emsalsiz/33562704
1.445.000 TL;Volkswagen;Golf;1.4 TSi Highline;2016.0;103.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Hatchback/5;20 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-4-tsi-highline/2016-model-golf-1-4-highline-boyasiz-102-000-km-de/33363133
"1.085.000 TL
1.065.000 TL";Volkswagen;Jetta;1.2 TSi Trendline;2015.0;149.550 km;;;;1200 cm3' e kadar;101 - 125 HP;Sedan;20 Ekim 2025;2 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-jetta-1-2-tsi-trendline/jetta-1-2-tsi-trendline-dsg-yetkili-servis-bakimli/33262999
655.000 TL;Volkswagen;Golf;1.6 Trendline;2012.0;232.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;20 Ekim 2025;3 değişen, 5 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-6-trendline/2012-dsg-tertemiz/32833858
1.265.000 TL;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2016.0;297.000 km;;;;1598 cc;120 hp;Sedan;19 Ekim 2025;3 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/cam-tavan-degisensiz-passat/33739282
2.490.000 TL;Volkswagen;Golf;1.5 eTSI R Line;2024.0;26.000 km;;;;1498 cc;150 hp;Hatchback/5;19 Ekim 2025;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-5-etsi-r-line/cetinlerden-2024-vw-golf-r-line-isitma-cam-tavan-hibrit/31898588
435.000 TL;Volkswagen;Polo;1.4 Comfortline;2004.0;334.000 km;;;;1390 cc;75 hp;Hatchback/5;19 Ekim 2025;2 değişen, 4 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-polo-1-4-comfortline/otomatik-vites-kusursuz-polo/33120451
720.000 TL;Volkswagen;Polo;1.4 TDi Comfortline;2014.0;238.000 km;;;;1401 - 1600 cm3;76 - 100 HP;Hatchback/5;19 Ekim 2025;10 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-polo-1-4-tdi-comfortline/kusursuz-otomatik-vites-2014-polo/33005267
675.000 TL;Volkswagen;Jetta;1.6 TDi Trendline;2013.0;232.000 km;;;;1598 cc;105 hp;Sedan;19 Ekim 2025;3 değişen, 4 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-jetta-1-6-tdi-trendline/krm-motors-dan-jetta-1-6-tdi/32748729
1.375.000 TL;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2018.0;220.000 km;;;;1598 cc;120 hp;Sedan;19 Ekim 2025;1 değişen, 2 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/galeriden-volkswagen-passat-1-6-tdi-bluemotion-comfortline-2018-model-istanbul/33008342
1.760.000 TL;Volkswagen;Passat;1.5 TSi Business;2021.0;133.000 km;;;;1401 - 1600 cm3;126 - 150 HP;Sedan;19 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-5-tsi-business/boyasiz-2021-vw-passat-1-5-tsi-act-dsg-business-150hp-133-000km/32804872
"1.680.000 TL
1.600.000 TL";Volkswagen;Passat;1.5 TSi Business;2020.0;155.000 km;;;;1401 - 1600 cm3;126 - 150 HP;Sedan;19 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-5-tsi-business/hatasiz-2020-business-passat-bakimlar-yeni/32804868
1.345.000 TL;Volkswagen;Golf;1.4 TSi Highline;2015.0;137.900 km;;;;1201 - 1400 cm3;101 - 125 HP;Hatchback/5;19 Ekim 2025;2 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-4-tsi-highline/2015-vw-golf-1-4-tsi-highline-cam-tvn-ici-bej-dusuk-km/33262470
2.440.000 TL;Volkswagen;Passat;1.6 TDi BlueMotion R Line;2020.0;127.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;19 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-r-line/hacar-dan-degisensiz-boyasiz-yenilogo-2020-passat-1-6tdi-rline/31682806
1.200.000 TL;Volkswagen;Polo;1.0 TSi Comfortline;2020.0;65.000 km;;;;999 cc;95 hp;Hatchback/5;18 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-polo-1-0-tsi-comfortline/sahibinden-volkswagen-polo-1-0-tsi-comfortline-2020-model/33724592
499.900 TL;Volkswagen;Polo;1.2 TDi Trendline;2012.0;245.000 km;;;;1198 cc;70 hp;Hatchback/5;18 Ekim 2025;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-polo-1-2-tdi-trendline/bulut-otomotivden-hazir-kurulu-duzen-1-2-tdi-polo/33714529
1.060.000 TL;Volkswagen;Golf;1.6 TDi BlueMotion Comfortline;2014.0;220.000 km;;;;1598 cc;105 hp;Hatchback/5;18 Ekim 2025;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-golf-1-6-tdi-bluemotion-comfortline/sahibinden-volkswagen-golf-1-6-tdi-bluemotion-comfortline-2014-model/33712825
1.695.000 TL;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2016.0;159.000 km;;;;1598 cc;120 hp;Sedan;18 Ekim 2025;1 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/hatasiz-boyasiz-tramersiz-159-binde-katlanir-ayna-higlyn-gorunum/32705700
925.000 TL;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2014.0;196.000 km;;;;1401 - 1600 cm3;-;Sedan;18 Ekim 2025;2 değişen, 6 boyalı;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/sahibinden-volkswagen-passat-1-6-tdi-bluemotion-comfortline-2014-model/33707522
1.020.000 TL;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2013.0;233.500 km;;;;1598 cc;105 hp;Sedan;18 Ekim 2025;1 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/degisensiz-hatasiz-tek-parca-boyali-passat-b7/33706332
1.550.000 TL;Volkswagen;Passat;1.4 TSi BlueMotion Comfortline;2018.0;118.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Sedan;18 Ekim 2025;3 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-4-tsi-bluemotion-comfortline/vw-passat-1-4-tsi-comfortline-118-ooo-km-hasar-kayitsiz/33422986
1.365.000 TL;Volkswagen;Polo;1.0 TSi Life;2023.0;48.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;18 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-polo-1-0-tsi-life/harmansah-auto-dan-hatasz-boyasz-kablszsarj-gerigors-hayaletekrn/32806960
265.000 TL;Volkswagen;Polo;1.4 TDi Comfortline;2001.0;316.000 km;;;;1401 - 1600 cm3;51 - 75 HP;Hatchback/5;18 Ekim 2025;2 değişen, 5 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-polo-1-4-tdi-comfortline/2001-polo-1-4-tdi-tavan-kaput-boyasiz-takas-kredi-karti-gecerli/32806520
905.000 TL;Volkswagen;Polo;1.4 TDi Comfortline;2014.0;170.000 km;;;;1401 - 1600 cm3;76 - 100 HP;Hatchback/5;18 Ekim 2025;1 değişen, 2 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-polo-1-4-tdi-comfortline/bg-motors-dan-volkswagen-polo-ozel-renk-otomatik/33263359
1.685.000 TL;Volkswagen;Golf;1.4 TSi Highline;2018.0;105.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Hatchback/5;18 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-4-tsi-highline/vw-golf-7-5-highline-tramersiz-srt-tkp-acc-otonom-pla-assist/33176914
2.130.000 TL;Volkswagen;Golf;1.5 eTSI Life;2024.0;12.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;18 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-5-etsi-life/boyasiz-tramersiz-2024-golf-1-5etsi-life-cam-tavan-otonom-srs/32314049
1.185.000 TL;Volkswagen;Polo;1.0 TSi Highline;2017.0;96.500 km;;;;999 cc;95 hp;Hatchback/5;17 Ekim 2025;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-polo-1-0-tsi-highline/galeriden-volkswagen-polo-1-0-tsi-highline-2017-model-kutahya/33693907
1.100.000 TL;Volkswagen;Jetta;1.4 TSi BlueMotion Comfortline;2015.0;93.800 km;;;;1395 cc;125 hp;Sedan;17 Ekim 2025;3 değişen;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-jetta-1-4-tsi-bluemotion-comfortline/sahibinden-acil-satilik-temiz-jetta/33163374
1.525.000 TL;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2019.0;170.000 km;;;;1598 cc;120 hp;Sedan;17 Ekim 2025;2 değişen, 1 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/kelesoglu-otomotiv-den-hatasiz-ayarinda-cam-tavanli/32335881
"1.690.000 TL
1.640.000 TL";Volkswagen;Passat;1.6 TDi BlueMotion Business;2020.0;193.000 km;;;;1598 cc;120 hp;Station wagon;17 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-business/galeriden-volkswagen-passat-1-6-tdi-bluemotion-business-2020-model-diyarbakir/32463783
730.000 TL;Volkswagen;Jetta;1.6 TDi Comfortline;2011.0;315.000 km;;;;1598 cc;105 hp;Sedan;17 Ekim 2025;1 değişen, 4 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-jetta-1-6-tdi-comfortline/galeriden-volkswagen-jetta-1-6-tdi-comfortline-2011-model-gaziantep/33667652
800.000 TL;Volkswagen;Jetta;1.6 TDi Comfortline;2015.0;232.000 km;;;;1598 cc;105 hp;Sedan;17 Ekim 2025;1 değişen, 2 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-jetta-1-6-tdi-comfortline/galeriden-volkswagen-jetta-1-6-tdi-comfortline-2015-model-gaziantep/33649772
1.055.000 TL;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2013.0;178.000 km;;;;1598 cc;105 hp;Sedan;17 Ekim 2025;4 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/sahibinden-2013-model-dizel-otomatik-bakimli-passat/33667091
680.000 TL;Volkswagen;Passat;2.0 TDi Exclusive;2009.0;289.000 km;;;;1968 cc;140 hp;Sedan;17 Ekim 2025;6 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-2-0-tdi-exclusive/sinan-autodan-cok-temiz-passat/33395805
1.465.000 TL;Volkswagen;Golf;1.6 TDi BlueMotion Highline;2018.0;149.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;17 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-6-tdi-bluemotion-highline/hatasiz-highline-golf-7-5-0-99-kredi-kart-a-12-taksit/33395321
279.900 TL;Volkswagen;Polo;1.4 Comfortline;2001.0;310.000 km;;;;1390 cc;100 hp;Hatchback/5;17 Ekim 2025;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-polo-1-4-comfortline/bulut-otomotivden-klimali-durbun-gogus-emsalsiz-temizlikte-polo/33664695
1.165.000 TL;Volkswagen;Polo;1.2 TSi Comfortline;2017.0;65.000 km;;;;1197 cc;90 hp;Hatchback/5;17 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-polo-1-2-tsi-comfortline/hatasiz-boyasiz-tramersiz-65-bin-km-2017-model-otomatik/33664525
1.165.000 TL;Volkswagen;Polo;1.2 TSi Comfortline;2017.0;65.000 km;;;;1197 cc;90 hp;Hatchback/5;17 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-polo-1-2-tsi-comfortline/hatasiz-boyasiz-tramersiz-65-bin-km-2017-model-otomatik/33664525
"697.500 TL
688.000 TL";Volkswagen;Jetta;1.6 Primeline;2008.0;199.000 km;;;;1595 cc;102 hp;Sedan;17 Ekim 2025;7 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-jetta-1-6-primeline/otobin-auto/33385238
1.775.000 TL;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2016.0;148.000 km;;;;1598 cc;120 hp;Sedan;17 Ekim 2025;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/passat-1-6-tdi-comfortline-dsg-tavan-led-katlanir-ayna-148-km/33390527
1.905.000 TL;Volkswagen;Passat;1.5 TSi Business;2022.0;93.000 km;;;;1498 cc;150 hp;Sedan;17 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-5-tsi-business/2022-boyasiz-93000-km-de-1-5-business-ilk-kullanicisindan/33709750
1.255.000 TL;Volkswagen;Polo;1.0 TSi Life;2023.0;104.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;17 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-polo-1-0-tsi-life/polo-1-0-tsi-life-hayalet-k-sarj-k-ayna-car-play-hatasiz-boyasiz/33041086
985.000 TL;Volkswagen;Golf;1.6 TDi BlueMotion Comfortline;2014.0;235.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;17 Ekim 2025;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-6-tdi-bluemotion-comfortline/alg-motor-s-tan-hatasiz-dizel-otomatik/32177402
500.000 TL;Volkswagen;Golf;1.6 Primeline;2005.0;154.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;16 Ekim 2025;1 değişen, 3 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-6-primeline/cengaver-den-2005-vw-golf-1-6-duz-motor-lpg-li-tam-otomatik/32431637
2.059.000 TL;Volkswagen;Golf;1.5 eTSI Life;2025.0;9.000 km;;;;1498 cc;116 hp;Hatchback/5;16 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-5-etsi-life/okan-auto-dan-2025-vw-golf-1-5etsi-life-kis-paketli-18-jant-ekst/33647092
810.000 TL;Volkswagen;Golf;1.2 TSi Midline Plus;2013.0;221.000 km;;;;1197 cc;105 hp;Hatchback/5;16 Ekim 2025;2 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-2-tsi-midline-plus/2013-vw-golf-temiz-hatasiz-degisensiz/33646131
1.155.000 TL;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2015.0;233.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;16 Ekim 2025;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/2015-passat-1-6-dizel-manuel-beyaz-hatasiz-comfortline/33641341
1.435.000 TL;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2017.0;209.000 km;;;;1598 cc;120 hp;Sedan;16 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/hatasiz-boyasiz-tramersiz-katlanir-ayna-elektrikli-bagaj/32705697
2.085.000 TL;Volkswagen;Passat;1.5 TSi Business;2022.0;61.000 km;;;;1401 - 1600 cm3;126 - 150 HP;Sedan;16 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-5-tsi-business/kofunculer2022-vw-passat-1-5-tsi-business-hatasiz-boyasiz/33358038
1.135.000 TL;Volkswagen;Jetta;1.2 TSi BlueMotion Comfortline;2016.0;117.000 km;;;;1200 cm3' e kadar;101 - 125 HP;Sedan;16 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-jetta-1-2-tsi-bluemotion-comfortline/snm-auto-dan-hatasiz-sadece-117-binde/33120376
1.199.000 TL;Volkswagen;Passat Variant;1.6 TDi BlueMotion Comfortline;2014.0;197.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Station wagon;16 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-variant-1-6-tdi-bluemotion-comfortline/2014-vw-passat-variant-1-6-tdi-boyasiz-cam-tavan-197-000km/33118068
1.095.000 TL;Volkswagen;Polo;1.2 TSi Comfortline;2014.0;35.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;16 Ekim 2025;1 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-polo-1-2-tsi-comfortline/2014-otomatik-sadece-35-000-km-degisensiz-ezik-cizik-yok/33093914
1.249.750 TL;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2016.0;280.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;16 Ekim 2025;1 değişen, 9 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/berkayhan-2016-vw-passat-1-6tdi-comfortline-36ay-taksit-imkani/33087867
1.079.900 TL;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2014.0;280.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;16 Ekim 2025;1 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/demir-hatasiz-sunroof-comfortline-bej-ic-kk12-taksit/33055956
875.000 TL;Volkswagen;Golf;1.4 TSi Comfortline;2018.0;215.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Hatchback/5;16 Ekim 2025;2 değişen, 3 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-4-tsi-comfortline/golf-1-4-tsi-manuel-ici-bej-comfortline-surus-konfor-isik-paket/30283719
1.000.020 TL;Volkswagen;Passat;1.4 TSi BlueMotion Comfortline;2012.0;191.000 km;;;;1400 cc;101 - 125 HP;Sedan;15 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-4-tsi-bluemotion-comfortline/ata-otomotiv-volkswagen-passat-1-4-tsi-bluemotion-comfortline-manuel/31674108
885.000 TL;Volkswagen;Golf;1.6 TDi BlueMotion Midline Plus;2015.0;215.992 km;;;;1598 cc;90 hp;Hatchback/5;15 Ekim 2025;3 boyalı;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-golf-1-6-tdi-bluemotion-midline-plus/akademisyenden-volkswagen-golf-1-6-tdi-2015/33629259
509.000 TL;Volkswagen;Polo;1.2 TDi Trendline;2013.0;211.750 km;;;;1199 cc;75 hp;Hatchback/5;15 Ekim 2025;1 değişen, 9 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-polo-1-2-tdi-trendline/galeriden-volkswagen-polo-1-2-tdi-trendline-2013-model-izmir/33623017
2.050.000 TL;Volkswagen;Golf;1.5 eTSI Life;2025.0;6.021 km;;;;1498 cc;116 hp;Hatchback/5;15 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-5-etsi-life/okan-auto-dan-2025-volkswagen-golf-1-5etsi-life-kis-paketli/33618482
295.000 TL;Volkswagen;Polo;1.6;1999.0;175.000 km;;;;1598 cc;75 hp;Hatchback/5;15 Ekim 2025;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-polo-1-6/sahibinden-volkswagen-polo-1-6-1999-model/33608143
985.000 TL;Volkswagen;Golf;1.4 TSi Highline;2013.0;230.000 km;;;;1395 cc;122 hp;Hatchback/5;15 Ekim 2025;1 değişen, 1 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-4-tsi-highline/galeriden-volkswagen-golf-1-4-tsi-highline-2013-model-adana/31809946
1.435.000 TL;Volkswagen;Golf;1.0 eTSI Life;2022.0;127.000 km;;;;999 cc;110 hp;Hatchback/5;15 Ekim 2025;2 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-0-etsi-life/2022-kis-paket-1-0-etsi-volkswagen-golf-1-19-dan-kredi-k-karti/33597385
1.457.000 TL;Volkswagen;Passat;1.5 TSi Impression;2020.0;176.000 km;;;;1401 - 1600 cm3;126 - 150 HP;Sedan;15 Ekim 2025;2 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-5-tsi-impression/dalyan-dan-1-5-tsi-impression-150-hp-dsgfavorilerime-ekleyazdir/33388870
1.595.000 TL;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2018.0;173.500 km;;;;1598 cc;120 hp;Sedan;15 Ekim 2025;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/yetk-servis-bakimli-hatasiz-degisensiz-19cikisli-passat-comfort/32662482
779.999 TL;Volkswagen;Polo;1.4 TDi Comfortline;2016.0;190.000 km;;;;1401 - 1600 cm3;76 - 100 HP;Hatchback/5;15 Ekim 2025;1 değişen, 7 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-polo-1-4-tdi-comfortline/alihan-motorsdan-2016-polo-dizel-otomatik-comfortline/33083424
"2.495.000 TL
2.464.900 TL";Volkswagen;Golf;1.5 eTSI R Line;2024.0;32.000 km;;;;1401 - 1600 cm3;126 - 150 HP;Hatchback/5;15 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-5-etsi-r-line/32-000km-boyasiz-golf-1-5e-tsi-mercan-camtvn-iqled-isitma-rline/32156690
236.750 TL;Volkswagen;Golf;1.8 GL;1994.0;185.000 km;;;;1601 - 1800 cm3;76 - 100 HP;Hatchback/5;15 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-8-gl/wolkwagen-golf-mk3-klimali-degisensiz-orjinal-185000-km/31813174
1.250.000 TL;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2013.0;190.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;15 Ekim 2025;1 değişen, 1 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/ber-kan-oto-2013-passat-1-6-tdi-otomatik-sunroof/29914297
1.250.000 TL;Volkswagen;Golf;1.4 TSi Highline;2015.0;129.000 km;;;;1395 cc;125 hp;Hatchback/5;14 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-4-tsi-highline/galeriden-volkswagen-golf-1-4-tsi-highline-2015-model-125-hp/33591459
1.339.500 TL;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2014.0;246.500 km;;;;1598 cc;120 hp;Sedan;14 Ekim 2025;1 değişen, 1 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/berlin-otomotivden-satilik-2015-cikisli-hatasiz-passat-b8-cam-tavan-dizel-otomatik-ici-kahve-lansma/33583975
1.630.000 TL;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2018.0;230.000 km;;;;1598 cc;120 hp;Sedan;14 Ekim 2025;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/volkswagen-passat-cam-tavan-2018-model/33572856
835.000 TL;Volkswagen;Jetta;1.6 TDi Comfortline;2015.0;255.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;14 Ekim 2025;4 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-jetta-1-6-tdi-comfortline/2015-kusursuz-degisensiz-jetta/33563373
1.025.000 TL;Volkswagen;Jetta;1.6 TDi Comfortline;2015.0;230.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;14 Ekim 2025;1 değişen, 7 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-jetta-1-6-tdi-comfortline/akbaslar-1-2015-model-jetta-taksitlendirme-imkani-mevcuttur/33563367
1.100.000 TL;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2012.0;230.498 km;;;;1598 cc;105 hp;Sedan;14 Ekim 2025;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/2012-hatasiz-boyasiz-comfortline-passat/33562979
